----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
21-03 14:02:51| 98   1   0   1   0|2654M  124M 2292k 5026M|  37M  140k
21-03 14:02:52| 97   3   1   0   0|2654M  140M 2292k 5011M|  35M  204k
21-03 14:02:53| 97   1   1   1   0|2652M  124M 2292k 5029M|  37M    0 
21-03 14:02:54| 96   1   1   1   0|2652M  128M 2292k 5024M|  37M   60k
21-03 14:02:55| 98   2   0   1   0|2653M  122M 2292k 5030M|  38M  157k
21-03 14:02:56| 97   1   0   0   0|2653M  124M 2292k 5027M|  37M  244k
21-03 14:02:57| 98   2   1   1   0|2653M  126M 2292k 5025M|  37M  120k
21-03 14:02:58| 98   1   0   0   0|2653M  135M 2292k 5016M|  38M  208k
21-03 14:02:59| 98   1   1   1   0|2652M  131M 2292k 5021M|  37M   72k
21-03 14:03:00| 97   1   0   0   0|2653M  125M 2292k 5026M|  37M  132k
21-03 14:03:01| 98   2   1   1   0|2652M  123M 2292k 5029M|  38M  180k
21-03 14:03:02| 98   2   0   0   0|2653M  137M 2292k 5015M|  37M   72k
21-03 14:03:03| 95   2   1   3   0|2653M  135M 2292k 5017M|  34M  178k
21-03 14:03:04| 97   1   0   1   0|2653M  133M 2292k 5018M|  37M  116k
21-03 14:03:05| 98   2   1   0   0|2652M  132M 2292k 5019M|  37M  136k
21-03 14:03:06| 97   2   1   1   0|2652M  131M 2292k 5020M|  37M  132k
21-03 14:03:07| 98   1   0   0   0|2651M  130M 2288k 5022M|  37M  116k
21-03 14:03:08| 96   1   1   2   0|2651M  127M 2280k 5024M|  37M  116k
21-03 14:03:09| 97   1   0   1   0|2652M  128M 2272k 5023M|  36M  156k
21-03 14:03:10| 96   2   1   1   0|2652M  126M 2264k 5025M|  37M  136k
21-03 14:03:11| 97   1   1   1   0|2650M  125M 2256k 5028M|  37M  176k
21-03 14:03:12| 98   2   0   1   0|2649M  136M 2244k 5017M|  37M   52k
21-03 14:03:13| 98   1   0   0   0|2650M  134M 2236k 5019M|  37M  188k
21-03 14:03:14| 98   1   0   0   0|2649M  134M 2228k 5019M|  37M   72k
21-03 14:03:15| 98   2   1   0   0|2650M  135M 2220k 5018M|  37M  204k
21-03 14:03:16| 97   1   1   0   0|2651M  132M 2212k 5020M|  36M  104k
21-03 14:03:17| 98   2   0   0   0|2649M  130M 2204k 5023M|  37M  117k
21-03 14:03:18| 98   1   0   0   0|2649M  131M 2196k 5022M|  37M  124k
21-03 14:03:19| 98   1   1   0   0|2650M  132M 2188k 5020M|  37M   84k
