----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
03-03 16:39:29| 97   1   1   1   0|2129M 4407M 4236k 1280M|  46M    0 
03-03 16:39:30| 98   1   1   1   0|2131M 4359M 4236k 1326M|  46M    0 
03-03 16:39:31| 59   1  16  24   0|2132M 4324M 4236k 1360M|  33M  193k
03-03 16:39:32| 34   0   8  57   0|2133M 4300M 4236k 1382M|  22M    0 
03-03 16:39:33| 61   1   7  31   0|2133M 4268M 4236k 1415M|  33M 5123B
03-03 16:39:34| 98   1   1   0   0|2135M 4222M 4236k 1459M|  44M    0 
03-03 16:39:35| 96   1   1   2   0|2136M 4175M 4236k 1504M|  46M    0 
03-03 16:39:36| 32   1  21  46   0|2137M 4151M 4236k 1528M|  23M  114k
03-03 16:39:37| 28   0   7  64   0|2137M 4130M 4236k 1549M|  21M    0 
03-03 16:39:38| 26   0   6  67   0|2137M 4109M 4236k 1569M|  21M  815k
03-03 16:39:39| 28   1  21  51   0|2137M 4087M 4236k 1591M|  21M   88k
03-03 16:39:40| 31   0   3  64   0|2137M 4065M 4236k 1613M|  22M    0 
03-03 16:39:41| 29   0  13  56   0|2137M 4044M 4236k 1634M|  21M    0 
03-03 16:39:42| 28   1  17  56   0|2136M 4024M 4236k 1655M|  21M    0 
03-03 16:39:43| 29   0  14  57   0|2137M 4002M 4236k 1676M|  21M    0 
03-03 16:39:44| 30   1  27  43   0|2137M 3980M 4236k 1698M|  22M 1024B
03-03 16:39:45| 28   0  15  55   0|2137M 3958M 4236k 1719M|  21M    0 
03-03 16:39:46| 29   1  22  49   0|2138M 3936M 4260k 1741M|  22M 5126B
03-03 16:39:47| 40   1   6  52   0|2138M 3913M 4260k 1764M|  24M    0 
03-03 16:39:48| 90   1   3   6   0|2137M 3869M 4260k 1808M|  44M 5120B
03-03 16:39:49| 35   1  17  47   0|2138M 3843M 4260k 1834M|  25M    0 
03-03 16:39:50| 28   0  25  47   0|2138M 3821M 4260k 1855M|  22M    0 
03-03 16:39:51| 29   1  24  45   0|2137M 3800M 4260k 1877M|  22M  248k
03-03 16:39:52| 28   1  27  44   0|2138M 3778M 4268k 1898M|  22M   16k
03-03 16:39:53| 26   1  40  34   0|2137M 3757M 4268k 1919M|  21M 8193B
03-03 16:39:54| 27   0  36  35   0|2137M 3735M 4268k 1942M|  23M    0 
03-03 16:39:55| 29   1  16  53   0|2138M 3712M 4268k 1964M|  22M    0 
03-03 16:39:56| 36   1  11  52   0|2138M 3687M 4268k 1988M|  25M    0 
03-03 16:39:57| 36   1  17  46   0|2142M 3662M 4268k 2010M|  21M 1024B
03-03 16:39:58| 27   0  25  46   0|2142M 3639M 4268k 2032M|  22M    0 
03-03 16:39:59| 27   1  25  48   0|2142M 3617M 4268k 2054M|  22M    0 
03-03 16:40:00| 27   0  16  56   0|2133M 3604M 4268k 2076M|  22M    0 
03-03 16:40:01| 29   1  30  40   0|2133M 3583M 4268k 2098M|  21M    0 
03-03 16:40:02| 28   0   9  62   0|2132M 3562M 4268k 2120M|  22M    0 
03-03 16:40:03| 29   1   9  61   0|2132M 3541M 4268k 2140M|  21M    0 
03-03 16:40:04| 29   1  26  45   0|2132M 3518M 4268k 2163M|  23M    0 
03-03 16:40:05| 26   1  19  55   0|2133M 3496M 4268k 2184M|  22M    0 
03-03 16:40:06| 28   0  24  46   0|2132M 3474M 4268k 2207M|  22M   97k
03-03 16:40:07| 30   1   9  60   0|2131M 3453M 4268k 2229M|  22M    0 
03-03 16:40:08| 33   1   2  65   0|2132M 3431M 4268k 2250M|  22M  214k
03-03 16:40:09| 47   1   6  44   0|2132M 3401M 4268k 2280M|  29M    0 
03-03 16:40:10| 35   1  17  47   0|2132M 3377M 4268k 2304M|  24M    0 
03-03 16:40:11| 31   0   8  60   0|2133M 3353M 4268k 2327M|  23M    0 
03-03 16:40:12| 26   1   1  72   0|2133M 3330M 4268k 2350M|  22M    0 
03-03 16:40:13| 27   1  18  54   0|2133M 3309M 4268k 2371M|  22M    0 
03-03 16:40:14| 27   1  45  28   0|2133M 3287M 4268k 2393M|  22M    0 
03-03 16:40:15| 28   0  27  44   0|2132M 3265M 4268k 2415M|  22M    0 
03-03 16:40:16| 28   1  16  56   0|2133M 3243M 4268k 2436M|  21M    0 
03-03 16:40:17| 30   1  12  56   0|2133M 3222M 4268k 2458M|  21M    0 
03-03 16:40:18| 29   1  14  57   0|2133M 3201M 4268k 2479M|  22M    0 
03-03 16:40:19| 31   1  23  45   0|2133M 3179M 4268k 2501M|  21M    0 
03-03 16:40:20| 27   1  48  25   0|2134M 3157M 4268k 2522M|  22M    0 
03-03 16:40:21| 27   1  44  28   0|2133M 3135M 4268k 2544M|  22M    0 
03-03 16:40:22| 27   0  38  35   0|2134M 3112M 4268k 2566M|  22M    0 
03-03 16:40:23| 26   1  33  40   0|2134M 3090M 4268k 2588M|  22M 4096B
03-03 16:40:24| 28   1  31  40   0|2134M 3068M 4268k 2610M|  22M 5120B
03-03 16:40:25| 27   1  49  24   0|2134M 3046M 4268k 2633M|  23M    0 
03-03 16:40:26| 28   1  34  38   0|2134M 3023M 4268k 2655M|  22M    0 
03-03 16:40:27| 30   1   7  62   0|2135M 3000M 4268k 2676M|  22M    0 
03-03 16:40:28| 29   0   6  64   0|2136M 2979M 4268k 2697M|  21M    0 
03-03 16:40:29| 31   0   1  67   0|2136M 2955M 4268k 2721M|  23M    0 
03-03 16:40:30| 27   1   8  64   0|2136M 2935M 4268k 2741M|  21M    0 
03-03 16:40:31| 28   1  29  43   0|2135M 2914M 4268k 2763M|  22M    0 
03-03 16:40:32| 30   0   8  61   0|2135M 2892M 4268k 2785M|  22M    0 
03-03 16:40:33| 28   1  10  62   0|2135M 2870M 4268k 2806M|  21M    0 
03-03 16:40:34| 30   1  26  44   0|2135M 2848M 4268k 2829M|  22M    0 
03-03 16:40:35| 28   0  22  48   0|2136M 2826M 4268k 2850M|  21M    0 
03-03 16:40:36| 29   1  14  58   0|2136M 2805M 4268k 2871M|  21M    0 
03-03 16:40:37| 29   1  16  54   0|2136M 2782M 4268k 2893M|  22M   74k
03-03 16:40:38| 30   1  18  51   0|2136M 2761M 4268k 2915M|  22M   71k
03-03 16:40:39| 27   1   6  66   0|2136M 2739M 4268k 2936M|  21M    0 
03-03 16:40:40| 27   0  21  52   0|2136M 2718M 4268k 2957M|  21M    0 
03-03 16:40:41| 26   1  25  48   0|2136M 2697M 4268k 2979M|  21M    0 
03-03 16:40:42| 28   1  15  55   0|2137M 2675M 4268k 3000M|  22M    0 
03-03 16:40:43| 32   1  10  58   0|2137M 2651M 4268k 3024M|  23M    0 
03-03 16:40:44| 37   0   3  60   0|2137M 2626M 4268k 3048M|  25M    0 
03-03 16:40:45| 27   1   9  62   0|2138M 2604M 4268k 3070M|  22M    0 
03-03 16:40:46| 27   1  23  50   0|2137M 2583M 4268k 3091M|  22M    0 
03-03 16:40:47| 27   0  26  46   0|2138M 2561M 4268k 3112M|  21M    0 
03-03 16:40:48| 27   1  48  24   0|2138M 2539M 4268k 3134M|  22M    0 
03-03 16:40:49| 27   1  35  37   0|2139M 2516M 4268k 3156M|  22M    0 
03-03 16:40:50| 27   1  13  59   0|2139M 2495M 4268k 3177M|  22M    0 
03-03 16:40:51| 26   1  11  62   0|2139M 2473M 4268k 3199M|  21M    0 
03-03 16:40:52| 29   1  14  56   0|2139M 2451M 4268k 3221M|  22M    0 
03-03 16:40:53| 28   0  15  56   0|2139M 2429M 4268k 3243M|  22M    0 
03-03 16:40:54| 28   0  16  56   0|2140M 2405M 4268k 3266M|  22M   36k
03-03 16:40:55| 27   1  20  52   0|2141M 2382M 4268k 3288M|  22M    0 
03-03 16:40:56| 27   0  23  49   0|2141M 2360M 4268k 3310M|  22M 9206B
03-03 16:40:57| 30   1  27  43   0|2140M 2338M 4268k 3332M|  22M    0 
03-03 16:40:58| 28   0  17  54   0|2140M 2317M 4268k 3354M|  22M    0 
03-03 16:40:59| 27   0  43  29   0|2140M 2295M 4268k 3376M|  22M    0 
03-03 16:41:00| 29   1  18  52   0|2140M 2273M 4268k 3398M|  22M    0 
03-03 16:41:01| 30   0   9  61   0|2140M 2250M 4268k 3421M|  23M    0 
03-03 16:41:02| 27   1   9  63   0|2140M 2229M 4268k 3442M|  21M    0 
03-03 16:41:03| 27   0  24  48   0|2140M 2206M 4268k 3464M|  22M    0 
03-03 16:41:04| 27   1  35  38   0|2140M 2184M 4268k 3485M|  21M  108k
03-03 16:41:05| 29   0  15  56   0|2141M 2162M 4268k 3507M|  22M    0 
03-03 16:41:06| 28   1   7  64   0|2140M 2141M 4268k 3529M|  21M    0 
03-03 16:41:07| 31   1  22  47   0|2140M 2118M 4268k 3551M|  23M   23k
03-03 16:41:08| 28   1  25  45   0|2141M 2098M 4268k 3571M|  20M   14k
03-03 16:41:09| 26   0  28  45   0|2141M 2075M 4268k 3594M|  22M    0 
03-03 16:41:10| 27   1  45  29   0|2141M 2054M 4268k 3615M|  21M    0 
03-03 16:41:11| 30   1  33  37   0|2141M 2032M 4268k 3637M|  22M    0 
03-03 16:41:12| 28   1   9  62   0|2142M 2009M 4268k 3658M|  22M    0 
03-03 16:41:13| 25   0  23  50   0|2142M 1988M 4268k 3679M|  20M    0 
03-03 16:41:14| 26   1  25  49   0|2141M 1967M 4268k 3701M|  22M    0 
03-03 16:41:15| 29   1  14  57   0|2141M 1945M 4268k 3723M|  22M    0 
03-03 16:41:16| 27   0  15  56   0|2142M 1923M 4268k 3745M|  21M    0 
03-03 16:41:17| 28   1   1  70   0|2142M 1901M 4268k 3767M|  22M    0 
03-03 16:41:18| 27   1  21  51   0|2142M 1878M 4268k 3789M|  22M    0 
03-03 16:41:19| 30   0  22  47   0|2143M 1856M 4268k 3811M|  22M    0 
03-03 16:41:20| 30   1  12  57   0|2142M 1833M 4268k 3834M|  22M    0 
03-03 16:41:21| 29   1  15  55   0|2143M 1811M 4268k 3855M|  21M    0 
03-03 16:41:22| 29   1   5  65   0|2143M 1789M 4268k 3877M|  22M    0 
03-03 16:41:23| 27   1   1  69   0|2143M 1768M 4268k 3898M|  21M    0 
03-03 16:41:24| 30   1   6  64   0|2142M 1747M 4268k 3920M|  22M    0 
03-03 16:41:25| 26   1   1  72   0|2142M 1724M 4268k 3943M|  22M    0 
03-03 16:41:26| 29   0   6  65   0|2142M 1702M 4268k 3964M|  22M    0 
03-03 16:41:27| 26   0  35  38   0|2142M 1682M 4268k 3985M|  21M 1023B
03-03 16:41:28| 35   1  20  45   0|2143M 1659M 4268k 4007M|  22M 4100B
03-03 16:41:29| 36   0   9  54   0|2143M 1634M 4268k 4032M|  24M    0 
03-03 16:41:30| 29   0  21  49   0|2144M 1611M 4268k 4055M|  23M    0 
03-03 16:41:31| 35   1  20  46   0|2144M 1588M 4268k 4077M|  23M    0 
03-03 16:41:32| 33   1  15  50   0|2144M 1563M 4268k 4102M|  25M    0 
03-03 16:41:33| 35   0  20  44   0|2144M 1537M 4268k 4127M|  25M    0 
03-03 16:41:34| 28   1  25  46   0|2144M 1515M 4268k 4150M|  22M    0 
03-03 16:41:35| 30   1  19  50   0|2144M 1494M 4268k 4171M|  22M    0 
03-03 16:41:36| 27   1  31  42   0|2145M 1471M 4268k 4193M|  22M    0 
03-03 16:41:37| 27   1  20  52   0|2145M 1449M 4268k 4215M|  22M   26k
03-03 16:41:38| 29   1  19  52   0|2145M 1428M 4268k 4236M|  21M    0 
03-03 16:41:39| 28   0   3  70   0|2145M 1407M 4268k 4256M|  20M   20k
03-03 16:41:40| 26   1  36  37   0|2145M 1385M 4268k 4279M|  22M    0 
03-03 16:41:41| 30   1  20  49   0|2146M 1362M 4268k 4300M|  22M    0 
03-03 16:41:42| 27   0  25  47   0|2145M 1340M 4268k 4323M|  23M    0 
03-03 16:41:43| 32   1  17  50   0|2146M 1318M 4268k 4344M|  21M    0 
03-03 16:41:44| 26   0   4  69   0|2146M 1296M 4268k 4366M|  22M    0 
03-03 16:41:45| 29   1  18  52   0|2146M 1275M 4268k 4388M|  22M    0 
03-03 16:41:46| 28   0  22  50   0|2146M 1251M 4268k 4411M|  23M 4096B
03-03 16:41:47| 27   1  29  43   0|2146M 1230M 4268k 4432M|  22M    0 
03-03 16:41:48| 29   0  10  61   0|2146M 1208M 4268k 4454M|  22M    0 
03-03 16:41:49| 27   0   5  67   0|2146M 1186M 4268k 4476M|  22M    0 
03-03 16:41:50| 28   1  23  48   0|2146M 1163M 4268k 4499M|  22M    0 
03-03 16:41:51| 36   1   6  58   0|2148M 1140M 4268k 4520M|  21M   32k
03-03 16:41:52| 28   0  24  47   0|2148M 1118M 4268k 4542M|  23M    0 
03-03 16:41:53| 29   1  22  48   0|2149M 1094M 4268k 4565M|  23M    0 
03-03 16:41:54| 29   0  15  56   0|2148M 1071M 4268k 4588M|  23M    0 
03-03 16:41:55| 28   1   6  65   0|2148M 1049M 4268k 4611M|  23M    0 
03-03 16:41:56| 28   1   1  70   0|2148M 1027M 4268k 4633M|  22M    0 
03-03 16:41:57| 26   0  36  37   0|2149M 1004M 4268k 4655M|  22M    0 
03-03 16:41:58| 26   1  48  25   0|2150M  981M 4268k 4676M|  22M    0 
03-03 16:41:59| 31   0  22  46   0|2149M  959M 4268k 4700M|  23M 9216B
03-03 16:42:00| 28   0  18  53   0|2149M  936M 4268k 4722M|  23M    0 
03-03 16:42:01| 28   0  21  51   0|2150M  913M 4268k 4745M|  23M    0 
03-03 16:42:02| 27   1  25  48   0|2149M  891M 4268k 4768M|  22M    0 
03-03 16:42:03| 29   0   4  67   0|2150M  869M 4268k 4789M|  22M    0 
03-03 16:42:04| 27   1   2  71   0|2146M  849M 4268k 4812M|  24M    0 
03-03 16:42:05| 26   0  22  51   0|2146M  827M 4268k 4834M|  22M    0 
03-03 16:42:06| 26   1  24  50   0|2146M  805M 4268k 4856M|  22M 9209B
03-03 16:42:07| 27   0  47  26   0|2146M  782M 4268k 4879M|  23M   64k
03-03 16:42:08| 26   1  46  27   0|2146M  760M 4268k 4901M|  23M    0 
03-03 16:42:09| 26   0  26  47   0|2146M  738M 4268k 4923M|  21M 9217B
03-03 16:42:10| 27   0  25  47   0|2146M  717M 4268k 4945M|  22M    0 
03-03 16:42:11| 29   1  26  46   0|2144M  696M 4268k 4967M|  23M    0 
03-03 16:42:12| 29   1  21  50   0|2145M  672M 4268k 4990M|  22M    0 
03-03 16:42:13| 26   0  18  54   0|2145M  649M 4268k 5013M|  24M    0 
03-03 16:42:14| 26   1  20  54   0|2146M  627M 4268k 5035M|  22M    0 
03-03 16:42:15| 25   1  53  22   0|2148M  603M 4268k 5056M|  21M    0 
03-03 16:42:16| 25   1  42  32   0|2149M  580M 4268k 5078M|  22M    0 
03-03 16:42:17| 25   0  40  35   0|2149M  558M 4268k 5100M|  22M    0 
03-03 16:42:18| 26   1  12  61   0|2149M  536M 4268k 5122M|  22M    0 
03-03 16:42:19| 28   1  14  58   0|2150M  514M 4268k 5143M|  21M    0 
03-03 16:42:20| 26   1  30  43   0|2149M  491M 4268k 5166M|  23M    0 
03-03 16:42:21| 27   0  24  48   0|2150M  469M 4268k 5187M|  21M    0 
03-03 16:42:22| 26   1  20  54   0|2150M  447M 4268k 5209M|  22M    0 
03-03 16:42:23| 28   1  23  49   0|2149M  426M 4268k 5231M|  22M    0 
03-03 16:42:24| 28   0  17  53   0|2148M  404M 4268k 5254M|  23M    0 
03-03 16:42:25| 26   1  25  49   0|2148M  383M 4268k 5276M|  22M    0 
03-03 16:42:26| 27   1  31  40   0|2149M  361M 4268k 5297M|  21M    0 
03-03 16:42:27| 26   1  18  54   0|2148M  338M 4268k 5320M|  23M    0 
03-03 16:42:28| 30   0   9  61   0|2150M  316M 4268k 5341M|  21M    0 
03-03 16:42:29| 27   0  18  54   0|2150M  293M 4268k 5363M|  23M 1023B
03-03 16:42:30| 29   1  16  55   0|2149M  270M 4268k 5387M|  23M    0 
03-03 16:42:31| 28   0  41  30   0|2149M  247M 4268k 5410M|  23M 4095B
03-03 16:42:32| 26   1  26  48   0|2150M  224M 4268k 5432M|  22M    0 
03-03 16:42:33| 28   1  23  49   0|2052M  299M 4268k 5455M|  23M   12k
03-03 16:42:34| 27   0  13  59   0|2052M  277M 4268k 5478M|  22M    0 
03-03 16:42:35| 26   1  22  51   0|2051M  255M 4268k 5500M|  22M    0 
03-03 16:42:36| 29   0   4  67   0|2051M  233M 4268k 5522M|  22M  220k
03-03 16:42:37| 28   0  12  59   0|2050M  211M 4268k 5545M|  22M   82k
03-03 16:42:38| 31   1  11  58   0|2050M  189M 4268k 5567M|  23M    0 
03-03 16:42:39| 25   1  13  60   0|2048M  169M 4268k 5588M|  21M   13k
03-03 16:42:40| 26   0  10  64   0|2049M  146M 4268k 5611M|  22M    0 
03-03 16:42:41| 27   0  30  42   0|2047M  127M 4268k 5632M|  21M    0 
03-03 16:42:42| 28   1  24  46   0|2047M  122M 4252k 5640M|  22M  183k
03-03 16:42:43| 27   1  10  62   0|2044M  123M 4252k 5645M|  21M   59k
03-03 16:42:44| 29   1   5  67   0|2036M  150M 4252k 5617M|  21M    0 
