----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
22-03 10:58:41| 33   1  13  54   0|3045M  136M 3368k 4617M|  24M   16k
22-03 10:58:42| 60   1   3  36   0|3044M  132M 3368k 4623M|  31M   57k
22-03 10:58:43| 96   1   1   1   0|3042M  128M 3368k 4629M|  44M  104k
22-03 10:58:44| 83   2   2  13   0|3045M  142M 3368k 4612M|  34M   80k
22-03 10:58:45| 94   2   2   3   0|3045M  125M 3368k 4629M|  37M    0 
22-03 10:58:46| 98   1   0   0   0|3042M  130M 3368k 4627M|  37M   40k
22-03 10:58:47| 97   2   1   0   0|3042M  132M 3368k 4625M|  40M   20k
22-03 10:58:48| 96   1   0   2   0|3041M  123M 3368k 4634M|  45M   72k
22-03 10:58:49| 96   1   0   1   0|3040M  123M 3368k 4635M|  44M   80k
22-03 10:58:50| 98   2   0   0   0|3038M  140M 3368k 4621M|  37M   20k
22-03 10:58:51| 98   2   1   1   0|3040M  132M 3364k 4627M|  37M   68k
22-03 10:58:52| 97   1   0   0   0|3039M  131M 3328k 4629M|  37M   96k
22-03 10:58:53| 97   2   1   1   0|3041M  132M 3272k 4626M|  42M  116k
22-03 10:58:54| 96   1   1   1   0|3042M  135M 3220k 4621M|  45M   84k
22-03 10:58:55| 98   2   1   0   0|3043M  121M 3188k 4635M|  43M  116k
22-03 10:58:56| 97   2   0   1   0|3044M  128M 3132k 4627M|  37M  124k
22-03 10:58:57| 98   1   0   0   0|3044M  126M 3128k 4629M|  37M   80k
22-03 10:58:58| 98   2   1   0   0|3043M  129M 3128k 4627M|  37M  133k
22-03 10:58:59| 97   2   0   0   0|3042M  135M 3128k 4622M|  37M   60k
22-03 10:59:00| 97   2   1   1   0|3042M  136M 3128k 4621M|  44M  108k
22-03 10:59:01| 96   1   0   2   0|3039M  123M 3128k 4637M|  46M   60k
22-03 10:59:02| 97   1   0   1   0|3040M  130M 3128k 4629M|  42M  124k
22-03 10:59:03| 97   1   0   1   0|3031M  123M 3128k 4645M|  37M   76k
22-03 10:59:04| 97   2   0   0   0|3028M  132M 3128k 4638M|  37M   68k
22-03 10:59:05| 97   2   1   0   0|3028M  131M 3128k 4639M|  37M  148k
22-03 10:59:06| 49   1  14  36   0|3028M  130M 3128k 4640M|  30M   24k
