----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:43:57| 99   1   1   0   0|2117M 2015M 4404k 3604M|  15M    0 
13-05 23:43:58| 98   1   1   0   0|2117M 2002M 4404k 3618M|  13M 1024B
13-05 23:43:59| 99   0   1   0   0|2118M 1988M 4404k 3630M|  13M  202k
13-05 23:44:00| 99   0   1   0   0|2118M 1975M 4404k 3644M|  13M  110k
13-05 23:44:01|100   1   0   0   0|2118M 1959M 4404k 3660M|  16M    0 
13-05 23:44:02| 99   1   1   0   0|2118M 1942M 4404k 3676M|  16M  501k
13-05 23:44:03| 98   0   1   0   0|2118M 1928M 4404k 3690M|  14M    0 
13-05 23:44:04| 99   1   0   0   0|2118M 1915M 4404k 3704M|  13M    0 
13-05 23:44:05| 98   0   1   0   0|2118M 1902M 4404k 3717M|  13M    0 
13-05 23:44:06|100   1   1   0   0|2118M 1888M 4404k 3731M|  13M   17k
13-05 23:44:07| 99   0   1   0   0|2118M 1871M 4404k 3747M|  17M  306k
13-05 23:44:08| 99   1   1   0   0|2118M 1855M 4404k 3763M|  17M    0 
13-05 23:44:09| 99   0   1   0   0|2118M 1841M 4404k 3777M|  13M  212k
13-05 23:44:10| 99   1   0   0   0|2117M 1836M 4404k 3783M|  13M    0 
13-05 23:44:11| 98   1   1   0   0|2117M 1831M 4388k 3788M|  13M    0 
13-05 23:44:12| 99   1   1   0   0|2116M 1824M 4388k 3796M|  15M    0 
13-05 23:44:13| 99   1   0   0   0|2117M 1818M 4388k 3801M|  16M    0 
13-05 23:44:14| 99   0   1   0   0|2117M 1812M 4388k 3808M|  16M    0 
13-05 23:44:15| 98   1   1   0   0|2116M 1806M 4388k 3814M|  13M    0 
13-05 23:44:16| 99   0   1   0   0|2117M 1801M 4388k 3818M|  13M    0 
13-05 23:44:17| 99   1   1   0   0|2117M 1796M 4388k 3823M|  13M    0 
13-05 23:44:18| 98   1   1   0   0|2117M 1790M 4388k 3829M|  13M    0 
13-05 23:44:19| 98   1   1   0   0|2118M 1785M 4388k 3834M|  15M    0 
13-05 23:44:20| 98   1   1   0   0|2116M 1777M 4388k 3842M|  17M    0 
13-05 23:44:21| 99   0   0   0   0|2117M 1772M 4388k 3847M|  15M    0 
