"x"
"1" "house: 0"
"Point.Forecast" "Lo.95" "Hi.95"
"4.071429" 375.15263217918 -2959.391767663 3709.69703202136
"4.077381" 431.060085102366 -2943.45262590625 3805.57279611098
"4.083333" 579.515843231618 -2834.49729660815 3993.52898307138
"4.089286" 526.521499946406 -2926.54024309243 3979.58324298524
"4.095238" 771.987238136498 -2719.6864412726 4263.6609175456
"4.101190" 592.335963831652 -2937.52731478384 4122.19924244715
"4.107143" 578.348018100243 -2989.29608522032 4145.99212142081
"4.113095" 811.551422711715 -2793.47758274689 4416.58042817032
"4.119048" 574.151287383829 -3067.87888992631 4216.18146469397
"4.125000" 777.024125556203 -2901.63507239589 4455.6833235083
"4.130952" 1009.57370869832 -2705.35336688707 4724.50078428371
"4.136905" 858.136949631997 -2892.70733654642 4608.98123581041
"4.142857" 766.158318546637 -3020.26249026439 4552.57912735766
"4.148810" 158.187465301646 -3663.4786927552 3979.85362335849
"4.154762" -274.995447771884 -4131.58486147369 3581.59396592992
"4.160714" 99.9872786491379 -3791.21196941266 3991.18652671094
"4.166667" 58.2811812854086 -3867.22276984705 3983.78513241787
"4.172619" -87.3212589234652 -4046.83271270112 3872.19019485419
"4.178571" 232.383912843268 -3760.84543629713 4225.61326198367
"4.184524" 30.1728804983274 -3996.49203194176 4056.83779293841
"4.190476" 309.756938073298 -3750.06818122876 4369.58205737536
"4.196429" 963.516469267829 -3129.2001934827 5056.23313201836
"4.202381" 756.117402317503 -3369.22856666446 4881.46337129946
"4.208333" 873.486671290998 -3284.23254073325 5031.20588331525
"4.214286" 724.659473520291 -3465.18285385617 4914.50180089675
"4.220238" 42.1816731786515 -4179.53935153571 4263.90269789301
"4.226190" 565.937525462929 -3687.42327427592 4819.29832520178
"4.232143" 263.539190248441 -4021.22775498849 4548.30613548537
"4.238095" -289.953050074672 -4605.89761149281 4025.99151134347
"4.244048" 494.327041681797 -3852.57152390203 4841.22560726562
"4.250000" 1034.62965532047 -3343.00404586041 5412.26335650134
"4.255952" 1625.03504004365 -2783.11950624377 6033.18958633106
"4.261905" 1376.55228389677 -3061.91323767646 5815.01780546999
"x"
"1" "======"
"x"
"1" "house: 3"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 852.680488973136 -39.5061637430124 1744.86714168928
"3.845238" 863.606127174968 -110.378910563424 1837.59116491336
"3.851190" 589.458252387362 -459.968583648228 1638.88508842295
"3.857143" 1117.57104879671 -2.22648408371333 2237.36858167713
"3.863095" 853.415007189869 -332.585138298525 2039.41515267826
"3.869048" 795.009614320806 -453.688177601605 2043.70740624322
"3.875000" 907.007113525236 -401.387324710159 2215.40155176063
"3.880952" 450.741017624492 -914.742719539275 1816.22475478826
"3.886905" 589.818910057794 -830.461226715279 2010.09904683087
"3.892857" 373.428253163731 -1099.61129055719 1846.46779688466
"3.898810" 84.2671917324897 -1439.70634078668 1608.24072425166
"3.904762" 593.788906416436 -979.470499489778 2167.04831232265
"3.910714" 488.271089959822 -1132.77640740902 2109.31858732866
"3.916667" 770.149034347568 -897.317552777703 2437.61562147284
"3.922619" 868.886644959924 -843.741350149525 2581.51464006937
"3.928571" 594.912288704208 -1161.71643703326 2351.54101444167
"3.934524" 847.138509224093 -952.415410651451 2646.69242909964
"3.940476" 525.891668477628 -1315.58712341568 2367.37046037094
"3.946429" 648.309660947727 -1234.16051715504 2530.77983905049
"3.952381" 1010.52401334229 -912.063774484225 2933.11180116881
"3.958333" 663.858553990773 -1298.0266700611 2625.74377804265
"3.964286" 973.877171046329 -1026.53365246131 2974.28799455396
"3.970238" 988.860055782025 -1049.34829795905 3027.0684095231
"3.976190" 662.468089297104 -1412.84950656945 2737.78568516365
"3.982143" 1019.47525272988 -1092.29958237133 3131.25008783109
"3.988095" 578.466876511012 -1569.14639980764 2726.08015282967
"3.994048" 306.267474208191 -1876.59592396256 2489.13087237894
"4.000000" 454.398557111639 -1763.15469941389 2671.95181363716
"4.005952" 2.39080010561804 -2249.31794570952 2254.09954592076
"4.011905" 175.921454010536 -2109.43237120642 2461.2752792275
"4.017857" 230.560428349625 -2087.95028693448 2549.07114363373
"4.023810" -151.17585527233 -2502.37592488372 2200.02421433906
"4.029762" 354.704874063322 -2028.73625124144 2738.14599936808
"4.035714" 484.767283101412 -1930.48455226637 2900.01911846919
"4.041667" 571.335330550514 -1875.31365504199 3017.98431614302
"4.047619" 647.460583532916 -1830.18771458251 3125.10888164834
"4.053571" 430.507910057067 -2077.75661339489 2938.77243350902
"4.059524" 639.96573606377 -1898.5457864748 3178.47725860234
"4.065476" 803.7513976412 -1764.65094243609 3372.15373771849
"4.071429" 501.494806400157 -2096.4544638836 3099.44407668391
"4.077381" 736.261747960032 -1890.90216801882 3363.42566393888
"4.083333" 795.001162633615 -1861.05607919585 3451.05840446308
"4.089286" 607.125536243063 -2077.51408618825 3291.76515867438
"4.095238" 1071.32085114467 -1641.60003468698 3784.24173697632
"4.101190" 775.135631750743 -1965.77472125881 3516.0459847603
"4.107143" 598.039079853015 -2170.57779391056 3366.65595361659
"4.113095" 1026.39236959471 -1769.65648980346 3822.44122899287
"4.119048" 745.998518683468 -2077.21579386795 3569.21283123489
"4.125000" 952.920866655209 -1897.19998780844 3803.04172111886
"4.130952" 1293.58010714147 -1583.19564280881 4170.35585709176
"4.136905" 1166.98060651944 -1736.20532379151 4070.16653683038
"4.142857" 1364.93073605932 -1564.42727832009 4294.28875043872
"4.148810" 597.798211220137 -2357.50011667542 3553.09653911569
"4.154762" -264.130011305496 -3245.14293266556 2716.88291005457
"4.160714" 266.187639170505 -2740.31994734397 3272.69522568498
"4.166667" 202.233159711714 -2829.55471186217 3234.0210312856
"4.172619" -102.137870165985 -3158.99696549176 2954.72122515979
"4.178571" 441.902106801976 -2639.82425339442 3523.62846699837
"4.184524" 143.670125819907 -2962.72443855577 3250.06469019558
"4.190476" 286.201695647185 -2844.66671743506 3417.07010872943
"4.196429" 1050.86040790994 -2104.29202113204 4206.01283695193
"4.202381" 660.130539452937 -2519.1204227932 3839.38150169907
"4.208333" 821.906273489313 -2381.26192555931 4025.07447253793
"4.214286" 686.490554982863 -2540.41761567365 3913.39872563938
"4.220238" -10.0004429528389 -3260.47520401517 3240.47431810949
"4.226190" 759.669058942247 -2514.2026555201 4033.54077340459
"4.232143" 533.625743403474 -2763.47689879771 3830.72838560466
"4.238095" -319.211107688737 -3639.38213696772 3000.95992159024
"4.244048" 436.188902669264 -2906.89133778517 3779.26914312369
"4.250000" 936.836291874473 -2428.99723409948 4302.66981784843
"4.255952" 1523.580864485 -1864.85316246958 4912.01489143959
"4.261905" 1454.33462671591 -1956.55015372994 4865.21940716175
"x"
"1" "======"
"x"
"1" "house: 4"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 1491.92792240815 -7.38198039569124 2991.237825212
"3.845238" 1200.37363567545 -606.532014287466 3007.27928563836
"3.851190" 1004.07643842714 -1065.19538303328 3073.34825988755
"3.857143" 1372.54057361164 -929.385514322619 3674.4666615459
"3.863095" 1087.44807048651 -1425.68574161633 3600.58188258935
"3.869048" 1021.56622514969 -1686.35168364238 3729.48413394175
"3.875000" 1009.69952570874 -1879.90204613105 3899.30109754854
"3.880952" 609.920531066205 -2450.5982300593 3670.43929219171
"3.886905" 498.692105711042 -2723.69100782829 3721.07521925037
"3.892857" 228.787813150076 -3147.70900657976 3605.28463287991
"3.898810" 0.397084613899096 -3523.4798452558 3524.2740144836
