"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"21.20833" 203.046191327113 -345.734273224883 751.82665587911 -450.866064643373 856.958447297599
"21.25000" 383.258109076926 -165.522355475071 932.038573628922 -270.65414689356 1037.17036504741
"21.29167" 241.86305065416 -306.917413897837 790.643515206157 -412.049205316326 895.775306624646
"21.33333" 952.630793381514 403.850328829517 1501.41125793351 298.718537411028 1606.543049352
"21.37500" 930.542046540784 381.761581988788 1479.32251109278 276.629790570298 1584.45430251127
"21.41667" 449.291703121545 -99.4887614304519 998.072167673542 -204.620552848941 1103.20395909203
"21.45833" 800.732544863979 251.952080311983 1349.51300941598 146.820288893493 1454.64480083447
"21.50000" 649.46002290512 100.679558353124 1198.24048745712 -4.45223306536559 1303.37227887561
"21.54167" 635.085993966959 86.3055294149618 1183.86645851896 -18.8262620035275 1288.99824993744
"21.58333" 839.482194782905 290.701730230909 1388.2626593349 185.569938812419 1493.39445075339
"21.62500" 710.080055010272 161.299590458275 1258.86051956227 56.167799039786 1363.99231098076
"21.66667" 678.351894315839 129.571429763843 1227.13235886784 24.4396383453534 1332.26415028633
"21.70833" 743.315449543206 194.534984991209 1292.0959140952 89.4031935727196 1397.22770551369
"21.75000" 215.174182040225 -333.606282511772 763.954646592221 -438.738073930261 869.086438010711
"21.79167" 503.275923406087 -45.5045411459101 1052.05638795808 -150.636332564399 1157.18817937657
"21.83333" 749.306792342996 200.526327791 1298.08725689499 95.3945363725104 1403.21904831348
"21.87500" 753.866612706637 194.760151219906 1312.97307419337 87.6501724823459 1420.08305293093
"21.91667" 937.188382313311 372.633482807354 1501.74328181927 264.479727757783 1609.89703686884
"21.95833" 493.049382862615 -73.1766630970505 1059.27542882228 -181.650565512918 1167.74933123815
"22.00000" 643.234884580584 76.2049246161487 1210.26484454502 -32.4229864150523 1318.89275557622
"22.04167" 435.495018138226 -131.534941826209 1002.52497810266 -240.16285285741 1111.15288913386
"22.08333" 398.135741698271 -168.894218266164 965.165701662707 -277.522129297365 1073.79361269391
"22.12500" 246.213390390099 -320.816569574336 813.243350354534 -429.444480605537 921.871261385735
"22.16667" 328.651263962885 -238.37869600155 895.68122392732 -347.006607032751 1004.30913495852
"22.20833" 157.131695287409 -409.898264677026 724.161655251844 -518.526175708227 832.789566283045
"22.25000" 378.557435363586 -188.472524600849 945.587395328021 -297.10043563205 1054.21530635922
"22.29167" 323.470710752881 -243.559249211554 890.500670717317 -352.187160242755 999.128581748517
"22.33333" 1047.0971708641 480.067210899664 1614.12713082853 371.439299868463 1722.75504185973
"22.37500" 977.264993833243 410.235033868808 1544.29495379768 301.607122837607 1652.92286482888
"22.41667" 569.260104806186 2.23014484175064 1136.29006477062 -106.39776618945 1244.91797580182
"22.45833" 845.222657426685 278.19269746225 1412.25261739112 169.564786431049 1520.88052842232
"22.50000" 614.747131730126 47.7171717656912 1181.77709169456 -60.9107392655097 1290.40500272576
"22.54167" 581.180699840423 14.1507398759883 1148.21065980486 -94.4771711552127 1256.83857083606
"22.58333" 793.436832848317 226.406872883882 1360.46679281275 117.778961852681 1469.09470384395
"22.62500" 772.453879256968 205.423919292533 1339.4838392214 96.7960082613318 1448.1117502526
"22.66667" 579.113106187166 12.0831462227305 1146.1430661516 -96.5447648084704 1254.7709771828
"22.70833" 665.436138767607 98.4061788031714 1232.46609873204 -10.2217322280295 1341.09400976324
"22.75000" 171.646411516162 -395.383548448273 738.676371480597 -504.011459479474 847.304282511798
"22.79167" 439.504449262677 -127.525510701758 1006.53440922711 -236.153421732959 1115.16232025831
"22.83333" 823.85951987561 256.829559911174 1390.88947984004 148.201648879974 1499.51739087125
"22.87500" 879.688462981136 286.243686033623 1473.13323992865 172.555396201057 1586.82152976121
"22.91667" 961.011701580279 353.902802120565 1568.12060103999 237.596828586297 1684.42657457426
"22.95833" 352.329358337174 -258.935472178477 963.594188852824 -376.037611948871 1080.69632862322
"23.00000" 530.989015669733 -82.2693618067484 1144.24739314622 -199.753412335282 1261.73144367475
"23.04167" 328.305931741353 -284.952445735129 941.564309217835 -402.436496263662 1059.04835974637
"23.08333" 521.548753614507 -91.7096238619747 1134.80713109099 -209.193674390508 1252.29118161952
"23.12500" 226.037975096201 -387.220402380281 839.296352572683 -504.704452908814 956.780403101216
"23.16667" 345.441077253609 -267.817300222873 958.699454730091 -385.301350751406 1076.18350525862
"23.20833" 188.928368791313 -424.330008685169 802.186746267795 -541.814059213702 919.670796796328
"23.25000" 370.641497812241 -242.616879664241 983.899875288722 -360.100930192775 1101.38392581726
"23.29167" 271.662001557517 -341.596375918965 884.920379033999 -459.080426447498 1002.40442956253
"23.33333" 1138.6769326608 525.418555184321 1751.93531013728 407.934504655788 1869.41936066582
"23.37500" 1000.85863685434 387.600259377861 1614.11701433082 270.116208849328 1731.60106485936
"23.41667" 558.92147166471 -54.3369058117721 1172.17984914119 -171.820956340305 1289.66389966972
"23.45833" 836.137194694 222.878817217518 1449.39557217048 105.394766688985 1566.87962269902
"23.50000" 532.072010816016 -81.1863666604659 1145.3303882925 -198.670417188999 1262.81443882103
"23.54167" 532.715103391168 -80.5432740853144 1145.97348086765 -198.027324613848 1263.45753139618
"23.58333" 694.1516102699 80.8932327934181 1307.40998774638 -36.5908177351151 1424.89403827492
"23.62500" 778.549275741266 165.290898264784 1391.80765321775 47.806847736251 1509.29170374628
"23.66667" 466.074533997132 -147.18384347935 1079.33291147361 -264.667894007883 1196.81696200215
"23.70833" 647.785278107696 34.5269006312145 1261.04365558418 -82.9571498973187 1378.52770611271
"23.75000" 177.585657572877 -435.672719903605 790.844035049359 -553.156770432138 908.328085577892
"23.79167" 350.301349022132 -262.95702845435 963.559726498614 -380.441078982883 1081.04377702715
"23.83333" 531.680776714199 -81.5776007622825 1144.93915419068 -199.061651290816 1262.42320471921
"x"
"1" "======"
"x"
"1" "house: 2"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"20.87500" 1236.10072907057 636.581824730559 1835.61963341058 521.729893086146 1950.471565055
"20.91667" 1346.14524320066 599.843410870881 2092.44707553045 456.871760748855 2235.41872565247
"20.95833" 1067.37949793798 276.208680400012 1858.55031547594 124.641321977915 2010.11767389804
"21.00000" 1343.82557738291 530.167994727189 2157.48316003862 374.292768126938 2313.35838663887
"21.04167" 804.444445365151 -9.21313729056658 1618.10202802087 -165.088363890817 1773.97725462112
"21.08333" 663.730858762356 -149.926723893361 1477.38844141807 -305.801950493611 1633.26366801832
"21.12500" 663.238025921709 -150.419556734008 1476.89560857743 -306.294783334259 1632.77083517768
"21.16667" 625.623532479681 -188.034050176036 1439.2811151354 -343.909276776286 1595.15634173565
"21.20833" 498.014755690465 -315.642826965253 1311.67233834618 -471.518053565503 1467.54756494643
"21.25000" 796.554401446276 -17.1031812094412 1610.21198410199 -172.978407809692 1766.08721070224
"21.29167" 551.88157939036 -261.776003265357 1365.53916204608 -417.651229865607 1521.41438864633
"21.33333" 1604.21457053124 790.556987875526 2417.87215318696 634.681761275275 2573.74737978721
"21.37500" 1559.39536733926 745.737784683541 2373.05294999498 589.862558083291 2528.92817659523
"21.41667" 795.29280473914 -18.3647779165768 1608.95038739486 -174.240004516827 1764.82561399511
"21.45833" 1314.93313254612 501.275549890403 2128.59071520184 345.400323290152 2284.46594180209
"21.50000" 1076.82432165084 263.166738995123 1890.48190430656 107.291512394873 2046.35713090681
"21.54167" 1097.48682117563 283.829238519908 1911.14440383134 127.954011919658 2067.01963043159
"21.58333" 1464.19168494082 650.534102285107 2277.84926759654 494.658875684856 2433.72449419679
"21.62500" 1297.62362242633 483.966039770609 2111.28120508204 328.090813170358 2267.15643168229
"21.66667" 1707.71187201183 894.054289356112 2521.36945466755 738.179062755862 2677.2446812678
"21.70833" 1532.11296015876 718.45537750304 2345.77054281447 562.58015090279 2501.64576941472
"21.75000" 1074.65794455024 261.000361894518 1888.31552720595 105.125135294267 2044.1907538062
"21.79167" 1249.21227438093 435.554691725214 2062.86985703665 279.679465124964 2218.7450836369
"21.83333" 1587.87333986821 774.215757212498 2401.53092252393 618.340530612247 2557.40614912418
"21.87500" 1625.8830467024 794.013084732341 2457.75300867245 634.648848980002 2617.11724442479
"21.91667" 1707.06804139294 865.356113118516 2548.77996966737 704.106417486508 2710.02966529938
"21.95833" 1199.77031955786 354.648445843636 2044.89219327209 192.745495046981 2206.79514406875
"22.00000" 1266.02963141622 419.129414270153 2112.92984856229 256.88578000748 2275.17348282497
"22.04167" 806.302378928097 -40.5978382179723 1653.20259607417 -202.841472480645 1815.44623033684
"22.08333" 732.192508347108 -114.707708798962 1579.09272549318 -276.951343061635 1741.33635975585
"22.12500" 571.908201653396 -274.992015492673 1418.80841879947 -437.235649755346 1581.05205306214
"22.16667" 693.728881427832 -153.171335718237 1540.6290985739 -315.41496998091 1702.87273283658
