----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:43:11| 31   1  13  56   0|3169M  166M 4324k 4479M|  23M    0 
09-06 19:43:12| 30   0   9  59   0|3168M  145M 4324k 4502M|  23M    0 
09-06 19:43:13| 29   1  11  59   0|3168M  122M 4324k 4525M|  23M   36k
09-06 19:43:14| 30   1   9  61   0|3164M  124M 4324k 4530M|  23M   82k
09-06 19:43:15| 35   2  19  45   0|3162M  129M 4324k 4529M|  22M   52k
09-06 19:43:16| 29   1  26  43   0|3143M  147M 4324k 4513M|  23M   40k
09-06 19:43:17| 31   2  13  54   0|3141M  138M 4324k 4525M|  23M    0 
09-06 19:43:18| 31   0  25  44   0|3139M  132M 4324k 4532M|  23M   16k
09-06 19:43:19| 30   1  24  45   0|3138M  134M 4324k 4532M|  23M   96k
09-06 19:43:20| 30   1  19  50   0|3135M  138M 4324k 4530M|  23M  165k
09-06 19:43:21| 29   1  20  50   0|3133M  131M 4324k 4539M|  23M   48k
09-06 19:43:22| 29   1  21  48   0|3132M  129M 4324k 4542M|  23M   76k
09-06 19:43:23| 32   1  16  51   0|3131M  128M 4324k 4544M|  23M   72k
09-06 19:43:24| 32   1  18  49   0|3130M  134M 4324k 4539M|  24M   97k
09-06 19:43:25| 31   1  10  57   0|3128M  127M 4324k 4548M|  22M 2048B
09-06 19:43:26| 40   1  14  46   0|3128M  122M 4324k 4553M|  22M   61k
09-06 19:43:27| 31   1   8  60   0|3128M  143M 4324k 4532M|  23M  132k
09-06 19:43:28| 28   0  21  49   0|3128M  134M 4324k 4541M|  23M   54k
09-06 19:43:29| 30   1  18  50   0|3126M  148M 4324k 4529M|  21M  105k
09-06 19:43:30| 30   0  26  42   0|3124M  128M 4324k 4552M|  23M    0 
09-06 19:43:31| 31   1  17  52   0|3123M  134M 4324k 4545M|  23M  120k
09-06 19:43:32| 30   1  13  57   0|3120M  144M 4324k 4539M|  23M   64k
09-06 19:43:33| 32   0  22  44   0|3118M  122M 4324k 4562M|  23M    0 
09-06 19:43:34| 29   1  18  53   0|3116M  134M 4324k 4553M|  22M  104k
09-06 19:43:35| 31   0  19  49   0|3115M  141M 4324k 4546M|  23M  104k
